action,lengthDependency,LLMAnswer,Value
A person fell on the ground.,FALSE,FALSE,15
There is an unexpected construction on the usual path.,TRUE,TRUE,90
Fallen branches from nearby trees.,FALSE,FALSE,20
Street cleaning crew sweeping debris.,FALSE,FALSE,20
The sidewalk is obstructed by a parked car.,FALSE,FALSE,50
Heavy rain has flooded the pathway.,TRUE,TRUE,90
A large pothole has formed in the middle of the path.,FALSE,TRUE,85
Traffic cones block the entrance to the path.,TRUE,FALSE,30
A fallen power line is lying across the path.,FALSE,FALSE,45
The pathway is covered in thick mud due to recent rain.,TRUE,TRUE,70
A road sign indicates the pathway is closed for maintenance.,TRUE,FALSE,45
A barrier blocks the entrance to a construction site.,TRUE,FALSE,120
A large fallen tree is on the pathway.,FALSE,FALSE,45
A deep trench is dug across the road for utility work.,TRUE,TRUE,90
A chemical spill blocks the path.,TRUE,TRUE,95
A medical emergency requires the path to be cleared for ambulance access.,TRUE,FALSE,45
Fallen debris from nearby construction on the way.,FALSE,FALSE,20
A broken water pipe has flooded the pathway.,TRUE,TRUE,100
Fallen rocks from a nearby hillside obstruct the path.,TRUE,FALSE,70
A swarm of bees has settled on the path.,FALSE,FALSE,45
A suspicious package has been found on the path.,FALSE,TRUE,100
A wild animal has made a den in the path.,FALSE,FALSE,45
Road repair work is in progress.,FALSE,FALSE,50
There is a protest demonstration.,TRUE,FALSE,120
A gas leak has been detected.,TRUE,FALSE,120
A fallen telephone pole at the entrance to the path.,TRUE,TRUE,95
A vehicle accident has occurred.,FALSE,FALSE,None
Fallen snow on the pathway.,TRUE,TRUE,50
An electrical fault has caused a power outage.,TRUE,TRUE,90
A sinkhole has developed in the middle of the path.,FALSE,FALSE,60
A fallen scaffolding structure blocks the path.,TRUE,TRUE,90
A wild fire in close vicinity of the path.,TRUE,FALSE,90
A broken sewer line has flooded the path with sewage.,TRUE,TRUE,100
A broken fence allows livestock to roam onto the path.,TRUE,TRUE,100
A vehicle breakdown is blocking the path.,TRUE,TRUE,85
A fallen streetlight pole obstructs the path.,TRUE,TRUE,80
A fallen billboard blocks the entrance to the path.,TRUE,TRUE,95
A burst water main floods the path.,TRUE,TRUE,100
A swarm of wasps has built a nest on the path.,FALSE,FALSE,30
A chemical spillage from a laboratory has contaminated the path.,TRUE,TRUE,90
A fallen satellite dish blocks the path.,TRUE,TRUE,100
A nearby construction crane has collapsed.,TRUE,TRUE,100
A protest march is crossing the pathway.,TRUE,TRUE,90
A collapsed building has debris strewn across the path.,TRUE,TRUE,100
A burst sewage pipe has flooded the path.,TRUE,TRUE,100
A fallen antenna tower at the entrance to the path.,TRUE,FALSE,45
A burst gas line has caused an evacuation.,TRUE,TRUE,100
A fallen billboard has crushed part of the path.,FALSE,FALSE,45
A burst sprinkler system has flooded the path.,TRUE,TRUE,90
A broken railing leaves a drop-off hazard on the path.,TRUE,FALSE,55
A landslide has covered the path with debris.,TRUE,TRUE,85
A medical quarantine requires the path to be sealed off.,TRUE,TRUE,100
A collapsed retaining wall.,TRUE,TRUE,100
A chemical spill has created a toxic hazard on the path.,TRUE,TRUE,100
A fallen statue blocks the pathway.,TRUE,FALSE,45
A burst water tank floods the path.,TRUE,TRUE,100
A nearby explosion damages the path.,TRUE,FALSE,180
A broken fence allows dangerous animals onto the path.,TRUE,FALSE,45
A burst fire hydrant floods the path.,TRUE,TRUE,100
A collapsed bridge on the path.,TRUE,TRUE,100
Dropped papers on the ground.,FALSE,FALSE,5
Light rain has left small puddles on the sidewalk.,TRUE,FALSE,5
A pedestrian is walking on the sidewalk.,FALSE,FALSE,1
A small animal crosses the pathway.,FALSE,FALSE,5
A group of people is chatting near the edge.,FALSE,FALSE,5
A delivery package is left on the side of the road.,FALSE,FALSE,1
An ice cream fell on the ground.,FALSE,FALSE,1
A cyclist is riding along the path.,FALSE,FALSE,5
Students are walking to class on the sidewalk.,FALSE,FALSE,0
A squirrel is crossing the pathway.,FALSE,FALSE,5
A group of friends is jogging together.,FALSE,FALSE,0
A delivery person is dropping off a package.,FALSE,FALSE,1
A gardener is trimming the bushes along the path.,FALSE,FALSE,5
A maintenance worker is inspecting the path.,FALSE,FALSE,0
A person is walking their dog.,FALSE,FALSE,1
A student is skateboarding down the sidewalk.,FALSE,FALSE,0
A jogger is listening to music while running.,FALSE,FALSE,1
A student is reading a book on a bench.,FALSE,FALSE,0
A gardener is watering the plants along the path.,FALSE,FALSE,2
A maintenance worker is repairing a light post.,FALSE,FALSE,40
A person is walking with a stroller.,FALSE,FALSE,20
A cyclist is using the bike lane.,FALSE,FALSE,5
A student is texting while walking.,FALSE,FALSE,1
A jogger is stretching before running.,FALSE,FALSE,1
A person is walking their pet cat on a leash.,FALSE,FALSE,0
A group of friends is playing frisbee.,FALSE,FALSE,5
A maintenance worker is painting a bench.,FALSE,FALSE,5
A gardener is planting flowers along the path.,FALSE,FALSE,5
A student is taking photographs of the scenery.,FALSE,FALSE,1
A cyclist is ringing their bell to signal others.,FALSE,FALSE,0
A person is rollerblading along the path.,FALSE,FALSE,1
A student is practicing yoga on the grass.,FALSE,FALSE,5
A maintenance worker is cleaning up litter.,FALSE,FALSE,5
A group of friends is having a barbecue.,FALSE,FALSE,5
A gardener is raking leaves off the pathway.,TRUE,FALSE,5
A person is walking with a guide dog.,FALSE,FALSE,5
