name,lat,lon
Klinik für Frauenheilkunde,48.0073439,7.8378103
Dialysestation,48.0073439,7.8378103
"Klinik für Augenheilkunde, Klinik für Hals-, Nasen- und Ohrenheilkunde, Klinik für Lungenheilkunde",48.0068996,7.83578522067512
Tumorzentrum Freiburg CCCF (Verwaltung),48.0044311,7.841216901119097
Transfusionsmedizin,48.0073439,7.8378103
Einsegnungshalle,48.0086362,7.8428708243581475
"Klinik für Radiologie - Medizinphysik, MRDAC",48.0065629,7.836113063601374
Institut für Infektionsprävention und Krankenhaushygiene,48.00496135,7.833814294591008
Institut für Pathologie,48.00436995,7.83481488263938
Personalrat,48.00417825,7.838041686758783
Studienzentrum/NAKO/Institut für Prävention und Tumorepidemiologie,48.00866835,7.831634110676346
Eichamt Freiburg,48.0081531,7.834427634109393
Zentrum für Translationale Zellforschung,48.003851100000006,7.83564848840959
Tumorzentrum Freiburg - CCCF (Verwaltung),48.0044311,7.841216901119097
Lutherkirche,48.00375245,7.840697801577289
Institute for Disease Modeling and Targeted Science (IMITATE),48.00406885,7.836063589250319
Klinik für Strahlenheilkunde,48.0041462,7.8375327
Chirurgische Ambulanzen,48.0073439,7.8378103
Medizinische Klinik,48.0073439,7.8378103
Zentralküche,48.0082822,7.836595924294792
Wäscherei,48.0082822,7.836595924294792
